Revise from: A7741   Ehrlichiosis chafeensis [E. chafeensis]
Revise to:   A7741   Ehrlichiosis chaffeensis [E. chaffeensis]
Add:         C810A   Nodular lymphocyte predominant Hodgkin lymphoma, in remission
Add:         C811A   Nodular sclerosis Hodgkin lymphoma, in remission
Add:         C812A   Mixed cellularity Hodgkin lymphoma, in remission
Add:         C813A   Lymphocyte depleted Hodgkin lymphoma, in remission
Add:         C814A   Lymphocyte-rich Hodgkin lymphoma, in remission
Add:         C817A   Other Hodgkin lymphoma, in remission
Add:         C819A   Hodgkin lymphoma, unspecified, in remission
Add:         C820A   Follicular lymphoma grade I, in remission
Add:         C821A   Follicular lymphoma grade II, in remission
Add:         C822A   Follicular lymphoma grade III, unspecified, in remission
Add:         C823A   Follicular lymphoma grade IIIa, in remission
Add:         C824A   Follicular lymphoma grade IIIb, in remission
Add:         C825A   Diffuse follicle center lymphoma, in remission
Add:         C826A   Cutaneous follicle center lymphoma, in remission
Add:         C828A   Other types of follicular lymphoma, in remission
Add:         C829A   Follicular lymphoma, unspecified, in remission
Add:         C830A   Small cell B-cell lymphoma, in remission
Add:         C831A   Mantle cell lymphoma, in remission
Delete:      C8339   Diffuse large B-cell lymphoma, extranodal and solid organ sites
Add:         C83390  Primary central nervous system lymphoma
Add:         C83398  Diffuse large B-cell lymphoma of other extranodal and solid organ sites
Add:         C833A   Diffuse large B-cell lymphoma, in remission
Add:         C835A   Lymphoblastic (diffuse) lymphoma, in remission
Add:         C837A   Burkitt lymphoma, in remission
Add:         C838A   Other non-follicular lymphoma, in remission
Add:         C839A   Non-follicular (diffuse) lymphoma, unspecified, in remission
Add:         C840A   Mycosis fungoides, in remission
Add:         C841A   Sezary disease, in remission
Add:         C844A   Peripheral T-cell lymphoma, not elsewhere classified, in remission
Add:         C846A   Anaplastic large cell lymphoma, ALK-positive, in remission
Add:         C847B   Anaplastic large cell lymphoma, ALK-negative, in remission
Add:         C849A   Mature T/NK-cell lymphomas, unspecified, in remission
Add:         C84AA   Cutaneous T-cell lymphoma, unspecified, in remission
Add:         C84ZA   Other mature T/NK-cell lymphomas, in remission
Add:         C851A   Unspecified B-cell lymphoma, in remission
Add:         C852A   Mediastinal (thymic) large B-cell lymphoma, in remission
Add:         C858A   Other specified types of non-Hodgkin lymphoma, in remission
Add:         C859A   Non-Hodgkin lymphoma, unspecified, in remission
Delete:      C860    Extranodal NK/T-cell lymphoma, nasal type
Add:         C8600   Extranodal NK/T-cell lymphoma, nasal type not having achieved remission
Add:         C8601   Extranodal NK/T-cell lymphoma, nasal type, in remission
Delete:      C861    Hepatosplenic T-cell lymphoma
Add:         C8610   Hepatosplenic T-cell lymphoma not having achieved remission
Add:         C8611   Hepatosplenic T-cell lymphoma, in remission
Delete:      C862    Enteropathy-type (intestinal) T-cell lymphoma
Add:         C8620   Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission
Add:         C8621   Enteropathy-type (intestinal) T-cell lymphoma, in remission
Delete:      C863    Subcutaneous panniculitis-like T-cell lymphoma
Add:         C8630   Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission
Add:         C8631   Subcutaneous panniculitis-like T-cell lymphoma, in remission
Delete:      C864    Blastic NK-cell lymphoma
Add:         C8640   Blastic NK-cell lymphoma not having achieved remission
Add:         C8641   Blastic NK-cell lymphoma, in remission
