Revise from: 1 A7741   Ehrlichiosis chafeensis [E. chafeensis]                      Ehrlichiosis chafeensis [E. chafeensis]
Revise to:   1 A7741   Ehrlichiosis chaffeensis [E. chaffeensis]                    Ehrlichiosis chaffeensis [E. chaffeensis]
Add:         1 C810A   Nodular lymphocyte predom Hodgkin lymphoma, in remission     Nodular lymphocyte predominant Hodgkin lymphoma, in remission
Add:         1 C811A   Nodular sclerosis Hodgkin lymphoma, in remission             Nodular sclerosis Hodgkin lymphoma, in remission
Add:         1 C812A   Mixed cellularity Hodgkin lymphoma, in remission             Mixed cellularity Hodgkin lymphoma, in remission
Add:         1 C813A   Lymphocyte depleted Hodgkin lymphoma, in remission           Lymphocyte depleted Hodgkin lymphoma, in remission
Add:         1 C814A   Lymphocyte-rich Hodgkin lymphoma, in remission               Lymphocyte-rich Hodgkin lymphoma, in remission
Add:         1 C817A   Other Hodgkin lymphoma, in remission                         Other Hodgkin lymphoma, in remission
Add:         1 C819A   Hodgkin lymphoma, unspecified, in remission                  Hodgkin lymphoma, unspecified, in remission
Add:         1 C820A   Follicular lymphoma grade I, in remission                    Follicular lymphoma grade I, in remission
Add:         1 C821A   Follicular lymphoma grade II, in remission                   Follicular lymphoma grade II, in remission
Add:         1 C822A   Follicular lymphoma grade III, unspecified, in remission     Follicular lymphoma grade III, unspecified, in remission
Add:         1 C823A   Follicular lymphoma grade IIIa, in remission                 Follicular lymphoma grade IIIa, in remission
Add:         1 C824A   Follicular lymphoma grade IIIb, in remission                 Follicular lymphoma grade IIIb, in remission
Add:         1 C825A   Diffuse follicle center lymphoma, in remission               Diffuse follicle center lymphoma, in remission
Add:         1 C826A   Cutaneous follicle center lymphoma, in remission             Cutaneous follicle center lymphoma, in remission
Add:         1 C828A   Other types of follicular lymphoma, in remission             Other types of follicular lymphoma, in remission
Add:         1 C829A   Follicular lymphoma, unspecified, in remission               Follicular lymphoma, unspecified, in remission
Add:         1 C830A   Small cell B-cell lymphoma, in remission                     Small cell B-cell lymphoma, in remission
Add:         1 C831A   Mantle cell lymphoma, in remission                           Mantle cell lymphoma, in remission
Delete:      1 C8339   Diffuse large B-cell lymphoma, extrnod and solid organ sites Diffuse large B-cell lymphoma, extranodal and solid organ sites
Add:         0 C8339   Diffuse large B-cell lymphoma, extrnod and solid organ sites Diffuse large B-cell lymphoma, extranodal and solid organ sites
